# Global Carbon Budget 2022 — Terrestrial Sink
#
# Terrestrial CO2 sink (positive values represent a flux from the atmosphere to the land)
# All values in billion tonnes of carbon per year (GtC/yr), for the globe. For values in billion tonnes of carbon dioxide per year (GtCO2/yr), multiply the numbers below by 3.664.
# 1 billion tonnes C = 1 petagram of carbon (10^15 gC) = 1 gigatonne C = 3.664 billion tonnes of CO2
# Methods: The terrestrial sink (uncertainty of ±0.5 GtC/yr on average) is estimated from the average of 16 Dynamic Global Vegetation Models (calculated from simulation S2; see Appendix C4.1 in Friedlingstein et al. 2022b) that reproduce the observed mean total land uptake of the 1990s.  Cite as: Friedlingstein et al (2022b; see summary tab).
# Cite individual estimates as:
# CABLE-POP	Haverd, V., Smith, B., Nieradzik, L., Briggs, P. R., Woodgate, W., Trudinger, C. M., Canadell, J. G., and Cuntz, M.: A new version of the CABLE land surface model (Subversion revision r4601) incorporating land use and land cover change, woody vegetation demography, and a novel optimisation-based approach to plant coordination of photosynthesis, Geosci. Model Dev., 11, 2995-3026, 2018.
# CLASSIC	Melton, J. R., Arora, V. K., Wisernig-cojoc, E., Seiler, C., Fortier, M. and Chan, E.: CLASSIC v1 . 0 : the open-source community successor to the Canadian Land Surface Scheme ( CLASS ) and the Canadian Terrestrial Ecosystem Model ( CTEM ) – Part 1 : Model framework and site-level performance, , 2825–2850, 2020.
# CLM5.0	Lawrence, D., Fisher, R., Koven, C., Oleson, K., Swenson, S., et al.: The Community Land Model version 5: Description of new features, benchmarking, and impact of forcing uncertainty, JAMES, accepted, 2019
# DLEM	Tian, H., G. Chen, C. Lu, X. Xu, D. J. Hayes, W. Ren, S. Pan, D.N. Huntzinger, S.C. Wofsy: North American terrestrial CO2 uptake largely offset by CH4 and N2O emissions: Toward a full accounting of the greenhouse gas budget, Climatic Change, 129:423-426, 2015
# IBIS	Yuan WP, Liu D, Dong WJ, Liu SG, Zhou GS, Yu GR, Zhao TB, Feng JM, Ma ZG, Chen JQ, Chen Y, Chen SP, Han SJ, Huang JP, Li LH, Liu HZ, Liu SM, Ma MG, Wang YF, Xia JZ, Xu WF, Zhang Q, Zhao XQ, Zhao L. 2014. Multiyear precipitation reduction strongly decreases carbon uptake over northern China. Journal of Geophysical Research: Biogeosciences, 119, 881-896.
# ISAM	Meiyappan, P., Jain, A. K., and House, J. I.: Increased influence of nitrogen limitation on CO2 emissions from future land use and land use change, Global Biogeochemical Cycles, 29, 1524-1548, 2015.
# JSBACH	Reick, C. H., Gayler, V., Goll, D., Hagemann, S., Heidkamp, M., Nabel, J. E. M. S., Raddatz, T., Roeckner, E., Schnur, R., and Wilkenskjeld, S.: JSBACH 3 - The land component of the MPI Earth System Model: documentation of version 3.2, https://doi.org/10.17617/2.3279802, 2021.
# JULES-ES	Wiltshire, A.,Burke, E., Chadburn, S., Jones, C., Cox, P., Davies-Barnard, T., Friedlingstein, P., Harper, A., Liddicoat, S., Sitch, S., Zaehle, S
# LPJ-GUESS	Smith, B., Warlind, D., Arneth, A., Hickler, T., Leadley, P., Siltberg, J., and Zaehle, S.: Implications of incorporating N cycling and N limitations on primary production in an individual-based dynamic vegetation model, Biogeosciences, 11, 2027-2054, 2014.
# LPJ 	Poulter, B., Frank, D. C., Hodson, E. L., and Zimmermann, N. E.: Impacts of land cover and climate data selection on understanding terrestrial carbon dynamics and the CO2 airborne fraction, Biogeosciences, 8, 2027-2036, 2011.
# LPX-Bern	Lienert, S. and Joos, F.: A Bayesian ensemble data assimilation to constrain model parameters and land-use carbon emissions, Biogeosciences, 15, 2909-2930, 2018.
# OCNv2	Zaehle, S. and Friend, A. D.: Carbon and nitrogen cycle dynamics in the O-CN land surface model: 1. Model description, site-scale evaluation, and sensitivity to parameter estimates, Global Biogeochemical Cycles, 24, GB1005, 2010
# ORCHIDEEv3	Vuichard, N., Messina, P., Luyssaert, S., Guenet, B., Zaehle, S., Ghattas, J., Ipsl, L. and Paris-saclay, U.: Accounting for carbon and nitrogen interactions in the global terrestrial ecosystem model ORCHIDEE ( trunk version , rev 4999 ): multi-scale evaluation of gross primary production, , 4751–4779, 2019.
# SDGVM	Walker, A. P., Quaife, T., van Bodegom, P. M., De Kauwe, M. G., Keenan, T. F., Joiner, J., Lomas, M. R., MacBean, N., Xu, C. G., Yang, X. J., and Woodward, F. I.: The impact of alternative trait-scaling hypotheses for the maximum photosynthetic carboxylation rate (V-cmax) on global gross primary production, New Phytologist, 215, 1370-1386, 2017.
# VISIT	Kato, E., Kinoshita, T., Ito, A., Kawamiya, M. and Yamagata, Y.: Evaluation of spatially explicit emission scenario of land-use change and biomass burning using a process-based biogeochemical model, J. Land Use Sci., 8(1), 104–122, doi:10.1080/1747423x.2011.628705, 2013.
# YIBs	Yue, X. and Unger, N.: The Yale Interactive terrestrial Biosphere model version 1 . 0 : description , evaluation and implementation into NASA GISS, , 2399–2417, doi:10.5194/gmd-8-2399-2015, 2015.
#
#
# Generated with openclimatedata 0.33 from the GCB Excel file from 10.18160/gcp-2022
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
#
# Individual models
Year,CABLE-POP,CLASSIC,CLM5.0,DLEM,IBIS,ISAM,JSBACH,JULES-ES,LPJ-GUESS,LPJ,LPX-Bern,OCNv2,ORCHIDEE-v3,SDGVM,VISIT,YIBs,Multi-model mean,Model Spread (sd)
1981,2.86803995449344,2.6913,2.717,3.172739775,1.982303,2.600221517,3.1749,2.1309510539895,1.556762,0.133526656587513,0.793290379917694,3.60384798049927,2.18293,2.09518627967595,1.84,1.9764,2.21996241232271,0.890023159239101
1982,2.33636414800213,1.7105,2.2183,1.655778199,1.276247,2.280561143,1.1528,3.41036433761569,1.902376,0.986157054530601,0.578255442273511,2.10422396659851,1.79876,-0.0449329325020316,1.716,1.63658,1.6698958974074,0.793036779932343
1983,1.34611298274664,-0.9112,1.5072,0.652318523,-0.873832,1.126555779,1.7514,0.221976699857566,-0.556884,-1.54467252754011,-1.38245780308993,1.33855485916138,0.590028,-0.0803247045457946,-0.371,1.6864,0.281260988036859,1.12422897016141
1984,3.57617493200157,4.4148,2.8583,3.443959315,2.943416,2.831975978,3.3493,2.2575804868163,3.901504,1.82236195946927,1.97427750880626,3.1782054901123,3.35033,0.868837935358945,3.55,1.86432,2.88658397534779,0.916147435190418
1985,3.82851348423738,3.2415,2.6929,3.032661785,2.443147,2.855856977,4.2476,2.80096518604096,3.244396,1.56705068416605,1.47024938394283,3.54774212837219,2.72176,1.96606169646051,2.72,1.87111,2.76571964532625,0.780657443550156
1986,2.32370664744134,2.415,3.316,2.496481461,1.017284,2.744768071,2.6334,3.52853662969325,2.761571,1.60620114804839,0.301119839255431,3.29553627967834,1.57431,2.26389304385136,2.674,1.95833,2.30688363249801,0.856858202851539
1987,1.43909050815828,-1.0041,1.6181,0.276058887,-0.251162,1.192061503,0.92478,0.0451340574401647,-0.480413,-0.810023100838826,-0.917382714094892,1.4167937040329,0.73694,-0.28297758054916,0.629,1.11197,0.352741891509279,0.898713069896291
1988,2.72052867326642,1.5556,2.6038,3.303711497,1.637084,2.620113052,3.8326,2.04090046439253,1.347691,-0.463808221184564,0.804795571753998,2.98273301124573,2.26655,2.64047797430142,1.413,1.66168,2.06046606392347,1.04655506897455
1989,3.31776299463753,5.0503,3.4025,4.850782741,3.743931,3.440338336,3.2726,3.11481797930238,4.329841,2.94888881330529,2.88137631653146,4.03526067733765,2.93523,2.94102433989672,4.163,2.6864,3.56962838737569,0.723455617599881
1990,1.48615217938589,3.6232,3.4879,1.774213274,2.558049,2.098220178,2.6767,1.47303628343705,2.860443,2.2750836704607,2.2034414406461,2.96566200256348,1.51007,1.47487933638161,2.403,2.44661,2.33229127280468,0.689019636408312
1991,3.00382771194426,2.4044,3.3465,2.251220472,1.551882,2.861589541,3.3781,3.44503519472655,0.733684,1.13396337525498,0.750096102415132,3.23236656188965,2.21468,1.42315457207269,2.277,2.05012,2.25360122070645,0.925254583180191
1992,3.45059668900456,1.9076,3.102,2.564861804,1.292964,2.95732319,1.4207,4.06133944847093,3.134986,2.72061441490255,0.226792715441946,2.99306178092957,1.70108,1.28917501866565,1.143,2.12303,2.25557031633845,1.02905729107791
1993,3.30505903406176,3.1289,3.4384,3.321777743,2.795473,2.902660438,2.5297,2.62283326452369,3.953249,3.1131703749196,1.61213294186831,3.90091061592102,2.61239,1.55406633449292,2.435,2.54501,2.86067079667421,0.680003209115229
1994,2.2090321205966,0.6316,2.0683,1.54389896,1.261757,2.76470938,2.3384,1.4803459860859,-0.284086,0.35719105322611,0.182403530581584,2.40653705596924,1.42371,0.817252650727043,2.047,2.21311,1.46632260857415,0.903684489418649
1995,2.28777533628919,1.0967,2.7569,2.064914764,1.111793,2.457394725,2.0758,1.23542681923637,1.348353,0.958237336731678,0.382822116253537,2.60653686523438,1.86855,2.08439720697515,1.559,2.45988,1.77215507310752,0.690755173156755
1996,3.91757172146217,4.0047,2.868,3.786592708,3.883515,3.000140385,2.6413,2.82263968121708,5.235572,3.30483946448808,2.91904351233012,3.41552376747131,3.50352,2.82591891969067,3.847,2.39728,3.39832232247871,0.708242080101834
1997,3.1767091162844,4.0522,2.9911,3.135480901,3.685976,2.860411914,3.5655,3.00148620554359,3.248718,3.85762842488399,2.96388578108942,3.60134243965149,1.66733,4.39043502675631,3.016,1.74711,3.18508211307557,0.723793329342885
1998,1.37399756799609,2.7247,2.2884,0.776127385,1.850735,1.623950602,3.555,-1.11421889777165,0.569509,0.240214929614879,1.39409812243068,1.95486235618591,1.20775,2.09975021155828,1.656,1.88972,1.50566226731339,1.06922648162945
1999,3.46057903039658,3.1075,3.9648,4.542883847,3.810701,3.948017401,4.985,2.92460527948356,3.059727,3.61321317785738,2.67518210764564,4.08596754074097,3.17201,2.67529464603484,4.628,2.85233,3.59411318938494,0.723925179020364
2000,3.92097280293791,5.0014,3.5438,4.404310364,4.359666,4.007217007,4.4847,2.58252149341791,3.364337,3.96996696303875,3.45018903415401,4.28189468383789,2.75342,2.49895758381532,4.575,2.75043,3.74679893326261,0.78376516758676
2001,2.48896181567526,2.4699,3.1241,2.593054478,2.109889,2.878252028,2.2627,2.2160624712047,1.631361,2.32132362456451,1.14209534769308,3.22972226142883,1.52409,2.22304664028202,3.357,2.5804,2.38449741667802,0.608320227248235
2002,1.1770523334123,0.178,2.4061,1.491254223,0.477262,1.96281567,0.87294,1.14481217996354,-0.241663,0.671160203019681,-0.497201792108602,1.94592702388763,1.09679,0.000235428536545806,1.181,1.90137,0.985490891856943,0.848523234912609
2003,2.47300470349318,1.3896,2.9734,3.023971749,1.437657,2.586821547,3.5913,1.68549148185768,2.041383,1.82618703493698,0.921967394532618,3.30357503890991,2.06436,3.05792063436909,2.398,2.22294,2.31234872400622,0.754892062199492
2004,3.76520417650585,3.7681,3.4256,3.650355963,3.33649,3.465432007,3.8758,2.89133385769664,4.790013,3.88735414538302,2.46074544223449,4.26686763763428,2.43546,2.99141234044834,4.285,2.16015,3.46595741061891,0.729250024740203
2005,1.68662921500443,1.4578,3.2851,2.002870131,1.250354,2.256584701,2.019,1.81905835518527,1.280476,1.74379805641184,0.505767205094099,2.8315441608429,1.74901,1.80233857277126,2.181,2.18379,1.87844502483186,0.640016958158395
2006,3.16591330134195,2.4003,3.0859,3.973122001,3.09841,3.059033823,3.1793,3.37112287209845,2.731814,2.95648865153618,2.47697111610466,3.84407830238342,2.57767,4.07043507520753,3.459,2.37909,3.11429057141701,0.535151932490626
2007,3.4710794885339,1.8491,3.2428,3.304837707,2.186206,3.168488478,3.8965,2.49670126683084,1.979351,2.31543338480194,1.15288763778635,3.62750315666199,2.18584,1.89318577734268,3.971,2.60399,2.70905649355986,0.832472812642765
2008,3.80507985794093,3.8356,2.8313,4.411651255,3.479405,4.021119142,4.216,3.3497708019865,4.78121,3.69449243901721,2.50441735060531,4.48640298843384,3.20571,2.0308667938817,4.516,2.9076,3.62978910180409,0.787117708823417
2009,3.3882287511195,2.4474,3.3257,3.157792596,2.443415,2.747839941,3.9026,3.00206135611316,2.636737,3.94847630590149,2.12926961439969,3.83999419212341,1.73211,2.34548507990678,4.048,2.67662,2.98573311478525,0.707390302141439
2010,3.38983113678553,4.309,4.1084,2.783524743,3.051881,2.6900998,4.6154,0.916805787619362,4.112663,3.64620449179269,2.56744618452351,3.84942841529846,2.52397,4.54446193838183,3.817,2.21746,3.32147353108759,0.999711241511639
2011,3.95375514500352,4.2201,4.561,4.32819517,4.106506,4.223443879,4.7385,4.15875706272125,4.503788,5.00203517130368,2.76496411570303,4.95724153518677,2.9398,2.86930035775782,5.52,2.89779,4.10907352729226,0.838323497516321
2012,2.54770399036001,1.0055,3.4881,2.724400747,2.220911,3.313995123,2.215,2.22064050197052,0.793399,2.06830537007049,0.948824780754609,3.46957993507385,1.80172,1.94826233474326,3.459,2.82214,2.3154676739358,0.889867235144231
2013,3.96012544487993,3.4887,3.3538,3.896906146,3.449431,3.254593837,5.2208,2.33451011829327,4.341699,4.62132995004993,2.85369656549859,3.89307475090027,2.7374,2.61282780675178,3.804,3.11267,3.55847278871086,0.768872569697612
2014,3.93629919392774,4.3077,3.9929,3.737338334,3.731091,3.909652956,3.1465,3.00481921747471,4.040689,4.89832962871768,2.60844906052412,4.778639793396,2.05869,3.25297522025578,4.545,2.66563,3.6634189627685,0.812820443647425
2015,2.35517498096917,1.4207,3.3319,1.747492067,1.263281,3.025672445,1.3556,1.78684077000089,0.321045,2.43546024016631,0.100391760268017,3.58320045471191,1.33729,2.45774602006902,2.991,2.62592,2.00866967113658,1.01652425927232
2016,2.43300062890348,3.3294,3.7404,2.970533897,2.743318,2.071701822,2.8204,0.295107285125099,2.08461,3.05447091754752,1.98759941215216,4.30003643035889,2.19544,3.9199511431249,1.854,3.29681,2.69354872101325,0.973097236322719
2017,3.66366176524768,4.1861,3.6797,3.823698335,3.784241,3.531009288,3.9872,2.18108481346622,3.712021,3.63927402338716,2.48341677923448,4.22852849960327,3.22649,3.41166172531185,4.396,2.94597,3.55500357682817,0.603642411291028
2018,3.10502851433249,2.8658,3.4039,4.237050676,3.511715,3.767298578,5.0836,2.92869141965885,3.993501,4.11266583862503,2.51947317862959,4.58417797088623,2.8691,3.822951642836,4.529,3.025,3.64743461368551,0.739875834803358
2019,3.03514525381918,2.5098,4.2244,2.959056169,2.094478,3.137164357,4.3558,2.6017131570445,3.211722,3.75275539684259,1.56923819447618,4.15778207778931,1.8129,2.75871197034646,3.527,2.96352,3.04194916101989,0.828464811773155
2020,3.20571696626076,3.2214,4.6439,3.323897697,3.58379,4.072768833,4.1822,2.11428226989827,2.249435,2.75617757892685,1.36070093597297,4.35664129257202,2.05675,2.34927535742153,3.522,2.68325,3.10513662069078,0.939222493358948
2021,4.45023252691714,3.8932,3.7097,4.178667269,3.108335,3.20638462,4.5929,2.55885145896638,3.147405,2.82988935803814,1.55608602288575,4.12865781784058,3.10259,2.77431062893887,5.008,2.96034,3.45034685641168,0.888433352902292
